Siruta,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica,Localitate
74224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Silistea Crucii
164339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Iana
156151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brestovat
107001,19618.23444283647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ardusat
33275,535.0170364500792,0.0,9.904912836767036,0.0,0.0,0.0,0.0,0.0,0.0,Galatii Bistritei
131577,7.116142063625652,2.84766874263592,0.0,0.0,0.0,0.0,0.0,0.0,9.037704090220501,Oras Slanic
41471,7.515196917808219,36.1875,17.051369863013697,0.0,0.0,0.0,0.0,55.631207191780824,0.0,Moieciu
82430,0.0,182.8223997757219,702.7406784412672,0.0,0.0,0.0,0.0,0.0,0.0,Oras Tismana
74242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sopot
98827,46.112730806608354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Schitu Duca
16908,13.757112068965517,508.7125,772.6506465517241,0.0,0.0,0.0,0.0,19.688577586206897,0.0,Leresti
66081,416.54261171701575,4804.083003571084,0.0,0.0,0.0,210.5793842293215,0.0,0.0,0.0,Oras Titu
123424,0.0,866.431045751634,181.89003267973857,0.0,0.0,0.0,0.0,2.0215686274509803,0.0,Petricani
139811,256.3065284627602,4462.186408091616,1304.516927192176,0.0,0.0,0.0,0.0,3442.256708183566,0.0,Oras Jibou
148006,213.05713039686,0.0,0.7034452682075883,0.0,0.0,0.0,0.0,0.0,0.0,Oras Dolhasca
115236,115.50792644261256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atintis
90663,0.0,0.0,1037.40494200706,0.0,0.0,0.0,0.0,0.0,0.0,Rapoltu Mare
107047,0.0,0.0,826.0222222222222,2472.400966183575,0.0,0.0,0.0,0.0,0.0,Arinis
131620,9954.140880178786,0.0,0.0,12439.402613030772,0.0,0.0,0.0,1737.6291043493209,0.0,Oras Urlati
172581,0.0,0.0,2.0391973868408773,0.0,0.0,0.0,0.0,0.0,0.0,Roesti
164393,50.128635346756155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ivanesti
57902,5252.219784007353,590.2255284926471,464.84524356617646,610.7940027573529,0.0,431.61534926470586,0.0,62.80905330882353,0.0,Gilau
16944,0.0,0.0,26.491857883049594,0.0,0.0,4869.084752035529,0.0,0.0,0.0,Lunca Corbului
156213,7427.15906680806,0.0,18.893425238600212,0.0,0.0,0.0,0.0,0.0,0.0,Carpinis
33337,0.0,0.0,152.77619047619046,0.0,0.0,0.0,0.0,0.0,0.0,Ilva Mare
25148,17.66245989304813,0.0,0.0,0.0,0.0,26.542032085561498,0.0,42.6248128342246,0.0,Sanduleni
41541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ormenis
107083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.85271903323263,0.0,Asuaju De Sus
74322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.855508336057535,Teasc
33364,0.0,0.0,5305.846241783367,0.0,0.0,0.0,0.0,0.0,0.0,Ilva Mica
123479,38.92051905920519,0.0,420.1371799328004,0.0,0.0,0.0,0.0,10.290812188622407,0.0,Piatra Soimului
57948,0.0,76.63201035375323,150.37963761863676,0.0,0.0,0.0,0.0,0.0,0.0,Garbau
156259,83.29602962353425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cenad
90725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rachitova
98916,17.937361827560796,0.0,26.36238025055269,0.0,0.0,0.0,0.0,0.0,0.0,Scanteia
33382,0.0,0.0,445.6309612518629,0.0,0.0,0.0,0.0,214.8880402384501,0.0,Josenii Bargaului
49769,2.87766323024055,6267.108591065292,3.2730813287514318,50.289117983963344,0.0,0.0,0.0,0.0,0.0,Topliceni
66152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Branistea
41578,0.0,0.0,40.63931469792606,0.0,0.0,0.0,0.0,0.0,0.0,Parau
115307,328.2974057234555,0.0,0.0,0.0,0.0,0.0,0.0,63.6210216635464,0.0,Bahnea
139884,327.8673363949483,2420.8436854190586,156.20746268656717,0.0,0.0,0.0,0.0,1667.3968427095292,231.83019517795637,Oras Simleu Silvaniei
107118,0.0,0.0,420.8912,2628.4186666666665,0.0,0.0,0.0,0.0,0.0,Baita De Sub Codru
74359,812.2660668380463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Terpezita
156277,158.63093316112366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.815628027123,Cenei
8826,318.41625570776256,879.9494063926941,887.9156164383562,0.0,0.0,0.0,0.0,40.880913242009136,0.0,Vintu De Jos
82555,27.907997169143666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Turburea
123521,0.0,23.42312789927104,73.9662027833002,0.0,0.0,0.0,0.0,0.0,0.0,Pipirig
148097,482.63539223351574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dolhesti
25228,7.240870527480634,41.074142382884546,45.85983032091479,0.0,0.0,1.0787532275912948,0.0,77.75138325341203,0.0,Saucesti
107154,12.128141738772147,0.0,128.96209311907705,0.0,0.0,0.0,0.0,0.0,0.0,Baiut
41621,39013.401306025524,0.0,620.3849807064411,0.0,0.0,0.0,0.0,36.42742653606411,0.0,Poiana Marului
156311,1069.68285077951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheveresu Mare
66198,362.03165205510646,0.0,0.0,0.0,0.0,0.0,0.0,1103.3226687919846,0.0,Baleni
58008,93.07211420132907,28.87152350479941,121.13955205513167,0.0,0.0,0.0,0.0,0.0,0.0,Iara
172698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rosiile
17049,2.0495091762697397,0.0,1251.2473324797268,0.0,0.0,0.0,0.0,0.0,0.0,Malureni
33435,319.933002878158,0.25583626479053406,430.6565398145187,0.0,0.0,0.0,0.0,522.5436520626799,17.361208826351135,Lechinta
148131,913.5423961551664,0.0,7411.8118777892205,0.0,0.0,0.0,0.0,69.53415722622725,0.0,Dorna-Arini
139937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Agrij
74411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Teslui
66223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barbuletu
90805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ribita
98998,19.151578398121575,140.28463344638664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scobinti
107190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basesti
82617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oras Turceni
49849,455.11221340388005,0.0,76.02138447971781,0.0,0.0,0.0,0.0,0.0,0.0,Tintesti
115389,92.11429006239537,0.0,307.85846903058894,0.0,0.0,0.0,0.0,0.0,0.0,Band
164543,44.85992077781779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ivesti
41667,51.184511434511435,83.54864864864865,4577.131392931393,0.6237006237006237,0.0,9166.639604989605,689.9800415800415,0.04948024948024948,0.0,Prejmer
156357,50.40238228177927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oras Ciacova
25291,0.0,0.0,418.3764172335601,0.0,0.0,0.0,0.0,0.0,0.0,Scorteni
139982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Almasu
17101,0.0,52.03769114796468,60.845358604350636,0.0,0.0,0.0,0.0,190.23066982554383,0.0,Merisani
123601,53.19331395348837,39.99818313953488,680.0050872093024,0.0,0.0,0.0,0.0,1098.5828488372092,3140.4578488372094,Pangarati
107234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bicaz
41701,122.54571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Racos
49894,10.747782002534855,0.0,0.0,0.0,0.0,58.711343472750315,0.0,0.0,0.0,Ulmeni
148202,59306.33734939759,0.0,4566.989579941387,0.0,0.0,0.0,0.0,0.0,0.0,Dorna Candrenilor
33514,0.0,0.0,189.2880895826264,0.0,0.0,0.0,0.0,0.0,0.0,Lesu
131817,23792.875110067507,443.8752568241855,9.58665981802172,0.0,0.0,498.27729674200174,0.0,168.48899324919284,0.0,Oras Valenii De Munte
99058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sinesti
164598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Laza
82680,3.4055919306317466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tantareni
